ArticleId,TopicId
dc037b8e-4863-11e6-beb8-9e71128cae77,c93d5ab6-4876-11e6-beb8-9e71128cae77
dc037b8e-4863-11e6-beb8-9e71128cae77,c93d5f16-4876-11e6-beb8-9e71128cae77
dc037ef4-4863-11e6-beb8-9e71128cae77,c93d6150-4876-11e6-beb8-9e71128cae77
dc037ef4-4863-11e6-beb8-9e71128cae77,c93d5f16-4876-11e6-beb8-9e71128cae77
dc038020-4863-11e6-beb8-9e71128cae77,c93d5f16-4876-11e6-beb8-9e71128cae77
dc038020-4863-11e6-beb8-9e71128cae78,c93d6150-4876-11e6-beb8-9e71128cae77
dc0380fc-4863-11e6-beb8-9e71128cae77,c93d5ab6-4876-11e6-beb8-9e71128cae77
dc0381ce-4863-11e6-beb8-9e71128cae77,c93d5ab6-4876-11e6-beb8-9e71128cae77
dc038624-4863-11e6-beb8-9e71128cae77,c93d6150-4876-11e6-beb8-9e71128cae77
dc038732-4863-11e6-beb8-9e71128cae77,c93d5ab6-4876-11e6-beb8-9e71128cae77
dc038804-4863-11e6-beb8-9e71128cae77,c93d5ab6-4876-11e6-beb8-9e71128cae77
dc038804-4863-11e6-beb8-9e71128cae77,c93d69b6-4876-11e6-beb8-9e71128cae77
c4866662-68aa-11e6-8b77-86f30ca893d3,f259267a-6999-11e6-8b77-86f30ca893d3
c4866662-68aa-11e6-8b77-86f30ca893d3,c93d5f16-4876-11e6-beb8-9e71128cae77
c486690a-68aa-11e6-8b77-86f30ca893d3,f2592954-6999-11e6-8b77-86f30ca893d3
c4866a22-68aa-11e6-8b77-86f30ca893d3,f259267a-6999-11e6-8b77-86f30ca893d3
c4866af4-68aa-11e6-8b77-86f30ca893d3,c93d5f16-4876-11e6-beb8-9e71128cae77
c4866bc6-68aa-11e6-8b77-86f30ca893d3,f259267a-6999-11e6-8b77-86f30ca893d3
c4866c98-68aa-11e6-8b77-86f30ca893d3,f2592954-6999-11e6-8b77-86f30ca893d3
c4866d60-68aa-11e6-8b77-86f30ca893d3,f2592954-6999-11e6-8b77-86f30ca893d3
c4867260-68aa-11e6-8b77-86f30ca893d3,c93d5f16-4876-11e6-beb8-9e71128cae77
c4867260-68aa-11e6-8b77-86f30ca893d3,f2592ada-6999-11e6-8b77-86f30ca893d3
c48673d2-68aa-11e6-8b77-86f30ca893d3,f2592bd4-6999-11e6-8b77-86f30ca893d3
c48674e0-68aa-11e6-8b77-86f30ca893d3,f2592954-6999-11e6-8b77-86f30ca893d3
c48674e0-68aa-11e6-8b77-86f30ca893d3,f2592ada-6999-11e6-8b77-86f30ca893d3
9b771ada-68ac-11e6-8b77-86f30ca893d3,f2592954-6999-11e6-8b77-86f30ca893d3
9b771db4-68ac-11e6-8b77-86f30ca893d3,c93d5f16-4876-11e6-beb8-9e71128cae77
9b771db4-68ac-11e6-8b77-86f30ca893d3,f259267a-6999-11e6-8b77-86f30ca893d3
9b771ef4-68ac-11e6-8b77-86f30ca893d3,f2592ada-6999-11e6-8b77-86f30ca893d3
9b772020-68ac-11e6-8b77-86f30ca893d3,f2592ada-6999-11e6-8b77-86f30ca893d3
9b772020-68ac-11e6-8b77-86f30ca893d3,f2592954-6999-11e6-8b77-86f30ca893d3
9b7724da-68ac-11e6-8b77-86f30ca893d3,f2592ada-6999-11e6-8b77-86f30ca893d3
9b7724da-68ac-11e6-8b77-86f30ca893d3,f2592954-6999-11e6-8b77-86f30ca893d3
9b77264c-68ac-11e6-8b77-86f30ca893d3,f259267a-6999-11e6-8b77-86f30ca893d3
9b77264c-68ac-11e6-8b77-86f30ca893d3,f2592bd4-6999-11e6-8b77-86f30ca893d3
9b772746-68ac-11e6-8b77-86f30ca893d3,f2592bd4-6999-11e6-8b77-86f30ca893d3
9b77282c-68ac-11e6-8b77-86f30ca893d3,f2592954-6999-11e6-8b77-86f30ca893d3
9b772912-68ac-11e6-8b77-86f30ca893d3,f2592954-6999-11e6-8b77-86f30ca893d3
9b772bf6-68ac-11e6-8b77-86f30ca893d3,f259267a-6999-11e6-8b77-86f30ca893d3
9b772bf6-68ac-11e6-8b77-86f30ca893d3,c93d69b6-4876-11e6-beb8-9e71128cae77
ba69556c-68b0-11e6-8b77-86f30ca893d3,f2592ada-6999-11e6-8b77-86f30ca893d3
ba69581e-68b0-11e6-8b77-86f30ca893d3,f2592ada-6999-11e6-8b77-86f30ca893d3
ba69581e-68b0-11e6-8b77-86f30ca893d3,c93d5ab6-4876-11e6-beb8-9e71128cae77
ba695918-68b0-11e6-8b77-86f30ca893d3,c93d5ab6-4876-11e6-beb8-9e71128cae77
ba6959f4-68b0-11e6-8b77-86f30ca893d3,f259267a-6999-11e6-8b77-86f30ca893d3
ba695b0c-68b0-11e6-8b77-86f30ca893d3,f259267a-6999-11e6-8b77-86f30ca893d3
ba695bde-68b0-11e6-8b77-86f30ca893d3,f2592ada-6999-11e6-8b77-86f30ca893d3
ba695f1c-68b0-11e6-8b77-86f30ca893d3,c93d69b6-4876-11e6-beb8-9e71128cae77
ba695f1c-68b0-11e6-8b77-86f30ca893d3,f2592954-6999-11e6-8b77-86f30ca893d3
ba696002-68b0-11e6-8b77-86f30ca893d3,f2592954-6999-11e6-8b77-86f30ca893d3
ba696002-68b0-11e6-8b77-86f30ca893d3,c93d69b6-4876-11e6-beb8-9e71128cae77
ba6960ca-68b0-11e6-8b77-86f30ca893d3,c93d69b6-4876-11e6-beb8-9e71128cae77
ba6960ca-68b0-11e6-8b77-86f30ca893d3,f2592954-6999-11e6-8b77-86f30ca893d3
ba696192-68b0-11e6-8b77-86f30ca893d3,f2592bd4-6999-11e6-8b77-86f30ca893d3
ba696192-68b0-11e6-8b77-86f30ca893d3,f259267a-6999-11e6-8b77-86f30ca893d3