ArticleId,ProjectId
dc037b8e-4863-11e6-beb8-9e71128cae77,4199d206-64be-11e6-8b77-86f30ca893d3
dc037ef4-4863-11e6-beb8-9e71128cae77,4199d206-64be-11e6-8b77-86f30ca893d3
dc038020-4863-11e6-beb8-9e71128cae77,4199d206-64be-11e6-8b77-86f30ca893d3
dc0380fc-4863-11e6-beb8-9e71128cae77,4199d206-64be-11e6-8b77-86f30ca893d3
dc0381ce-4863-11e6-beb8-9e71128cae77,4199d206-64be-11e6-8b77-86f30ca893d3
dc038624-4863-11e6-beb8-9e71128cae77,4199d206-64be-11e6-8b77-86f30ca893d3
dc038732-4863-11e6-beb8-9e71128cae77,4199d206-64be-11e6-8b77-86f30ca893d3
dc038804-4863-11e6-beb8-9e71128cae77,4199d206-64be-11e6-8b77-86f30ca893d3
c4866662-68aa-11e6-8b77-86f30ca893d3,e80020f2-64a8-11e6-8b77-86f30ca893d3
c486690a-68aa-11e6-8b77-86f30ca893d3,4199d206-64be-11e6-8b77-86f30ca893d3
c4866a22-68aa-11e6-8b77-86f30ca893d3,e80020f2-64a8-11e6-8b77-86f30ca893d3
c4866bc6-68aa-11e6-8b77-86f30ca893d3,e80020f2-64a8-11e6-8b77-86f30ca893d3
c4866c98-68aa-11e6-8b77-86f30ca893d3,4199d206-64be-11e6-8b77-86f30ca893d3
c4867260-68aa-11e6-8b77-86f30ca893d3,4199d206-64be-11e6-8b77-86f30ca893d3
c48674e0-68aa-11e6-8b77-86f30ca893d3,4199d206-64be-11e6-8b77-86f30ca893d3
9b771db4-68ac-11e6-8b77-86f30ca893d3,4199d206-64be-11e6-8b77-86f30ca893d3
9b771db4-68ac-11e6-8b77-86f30ca893d3,4199d88c-64be-11e6-8b77-86f30ca893d3
9b771db4-68ac-11e6-8b77-86f30ca893d3,e800234a-64a8-11e6-8b77-86f30ca893d3
9b772020-68ac-11e6-8b77-86f30ca893d3,4199d206-64be-11e6-8b77-86f30ca893d3
9b772020-68ac-11e6-8b77-86f30ca893d3,e800234a-64a8-11e6-8b77-86f30ca893d3
9b772020-68ac-11e6-8b77-86f30ca893d3,4199d88c-64be-11e6-8b77-86f30ca893d3
9b7724da-68ac-11e6-8b77-86f30ca893d3,4199d206-64be-11e6-8b77-86f30ca893d3
9b77264c-68ac-11e6-8b77-86f30ca893d3,e80020f2-64a8-11e6-8b77-86f30ca893d3
9b772746-68ac-11e6-8b77-86f30ca893d3,4199d206-64be-11e6-8b77-86f30ca893d3
9b772912-68ac-11e6-8b77-86f30ca893d3,4199d206-64be-11e6-8b77-86f30ca893d3
9b772912-68ac-11e6-8b77-86f30ca893d3,4199d88c-64be-11e6-8b77-86f30ca893d3
9b772bf6-68ac-11e6-8b77-86f30ca893d3,e80020f2-64a8-11e6-8b77-86f30ca893d3
ba69556c-68b0-11e6-8b77-86f30ca893d3,4199d206-64be-11e6-8b77-86f30ca893d3
ba69556c-68b0-11e6-8b77-86f30ca893d3,4199d88c-64be-11e6-8b77-86f30ca893d3
ba69581e-68b0-11e6-8b77-86f30ca893d3,e800252a-64a8-11e6-8b77-86f30ca893d3
ba695918-68b0-11e6-8b77-86f30ca893d3,e800252a-64a8-11e6-8b77-86f30ca893d3
4199d88c-64be-11e6-8b77-86f30ca893d3,e800252a-64a8-11e6-8b77-86f30ca893d3
e800252a-64a8-11e6-8b77-86f30ca893d3,e800252a-64a8-11e6-8b77-86f30ca893d3
ba6959f4-68b0-11e6-8b77-86f30ca893d3,e80020f2-64a8-11e6-8b77-86f30ca893d3
ba695bde-68b0-11e6-8b77-86f30ca893d3,4199d206-64be-11e6-8b77-86f30ca893d3
ba695f1c-68b0-11e6-8b77-86f30ca893d3,4199d206-64be-11e6-8b77-86f30ca893d3
ba6960ca-68b0-11e6-8b77-86f30ca893d3,4199d206-64be-11e6-8b77-86f30ca893d3